Htno,Subcode,Subname,Internal,External,credits
13MT1D5812,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,28,31,1
13MT1D5812,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,32,24,1
13MT1D5812,G0503,DATA BASE MANAGEMENT SYSTEMS,30,28,1
13MT1D5812,G0504,OPERATING SYSTEM,27,24,1
13MT1D5812,G0505,SOFTWARE ENGINEERING,28,24,1
13MT1D5812,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,27,24,1
13MT1D5816,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,37,1
13MT1D5816,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,32,24,1
Htno,Subcode,Subname,Internal,External,credits
13MT1D5816,G0503,DATA BASE MANAGEMENT SYSTEMS,33,28,1
13MT1D5816,G0504,OPERATING SYSTEM,31,24,1
13MT1D5816,G0505,SOFTWARE ENGINEERING,32,24,1
13MT1D5816,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,31,33,1
13MT1D5816,G5801,CSE LAB,32,47,1
13MT1D7201,G5701,DIGITAL DESIGN USING HDL,36,33,1
13MT1D7201,G6802,VLSI TECHNOLOGY AND DESIGN,38,37,1
13MT1D7201,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,39,31,1
13MT1D7201,G6806,DIGITAL SYSTEM DESIGN,37,36,1
13MT1D7205,G6802,VLSI TECHNOLOGY AND DESIGN,36,36,1
13MT1D7206,G5701,DIGITAL DESIGN USING HDL,36,27,1
13MT1D7206,G6806,DIGITAL SYSTEM DESIGN,36,31,1
13MT1D7210,G6806,DIGITAL SYSTEM DESIGN,38,0,0
13MT1D7214,G6806,DIGITAL SYSTEM DESIGN,39,34,1
13MT1D7218,G6806,DIGITAL SYSTEM DESIGN,37,26,1
14MT1D2102,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,39,30,1
14MT1D2102,G2102,ADVANCED THERMODYNAMICS,39,36,1
14MT1D2102,G2103,ADVANCED HEAT & MASS TRANSFER,39,28,1
14MT1D2102,G2104,ADVANCED FLUID MECHANICS,39,39,1
14MT1D2102,G2107,RENEWABLE ENERGY TECHNOLOGIES,39,25,1
14MT1D2102,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,27,1
14MT1D2102,G2113,THERMAL ENGINEERING LAB,38,56,1
14MT1D2103,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,39,28,1
14MT1D2103,G2102,ADVANCED THERMODYNAMICS,39,36,1
14MT1D2103,G2103,ADVANCED HEAT & MASS TRANSFER,39,27,1
14MT1D2103,G2104,ADVANCED FLUID MECHANICS,38,47,1
14MT1D2103,G2107,RENEWABLE ENERGY TECHNOLOGIES,38,34,1
14MT1D2103,G2109,ADVANCED IC ENGINES ELECTIVE-II,38,2,0
14MT1D2103,G2113,THERMAL ENGINEERING LAB,37,49,1
14MT1D2104,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,34,37,1
14MT1D2104,G2102,ADVANCED THERMODYNAMICS,33,47,1
14MT1D2104,G2103,ADVANCED HEAT & MASS TRANSFER,34,33,1
14MT1D2104,G2104,ADVANCED FLUID MECHANICS,32,49,1
14MT1D2104,G2107,RENEWABLE ENERGY TECHNOLOGIES,32,27,1
14MT1D2104,G2109,ADVANCED IC ENGINES ELECTIVE-II,29,24,1
14MT1D2104,G2113,THERMAL ENGINEERING LAB,33,46,1
14MT1D2105,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,39,24,1
14MT1D2105,G2102,ADVANCED THERMODYNAMICS,39,41,1
14MT1D2105,G2103,ADVANCED HEAT & MASS TRANSFER,39,28,1
14MT1D2105,G2104,ADVANCED FLUID MECHANICS,38,28,1
14MT1D2105,G2107,RENEWABLE ENERGY TECHNOLOGIES,39,24,1
14MT1D2105,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,12,0
14MT1D2105,G2113,THERMAL ENGINEERING LAB,38,53,1
14MT1D2106,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,34,30,1
14MT1D2106,G2102,ADVANCED THERMODYNAMICS,39,46,1
14MT1D2106,G2103,ADVANCED HEAT & MASS TRANSFER,39,29,1
14MT1D2106,G2104,ADVANCED FLUID MECHANICS,38,35,1
14MT1D2106,G2107,RENEWABLE ENERGY TECHNOLOGIES,38,28,1
14MT1D2106,G2109,ADVANCED IC ENGINES ELECTIVE-II,34,24,1
14MT1D2106,G2113,THERMAL ENGINEERING LAB,36,46,1
14MT1D2107,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,38,-1,0
Htno,Subcode,Subname,Internal,External,credits
14MT1D2107,G2102,ADVANCED THERMODYNAMICS,39,-1,0
14MT1D2107,G2103,ADVANCED HEAT & MASS TRANSFER,38,-1,0
14MT1D2107,G2104,ADVANCED FLUID MECHANICS,37,-1,0
14MT1D2107,G2107,RENEWABLE ENERGY TECHNOLOGIES,32,-1,0
14MT1D2107,G2109,ADVANCED IC ENGINES ELECTIVE-II,32,-1,0
14MT1D2107,G2113,THERMAL ENGINEERING LAB,36,-1,0
14MT1D2108,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,36,26,1
14MT1D2108,G2102,ADVANCED THERMODYNAMICS,36,38,1
14MT1D2108,G2103,ADVANCED HEAT & MASS TRANSFER,36,24,1
14MT1D2108,G2104,ADVANCED FLUID MECHANICS,35,43,1
14MT1D2108,G2107,RENEWABLE ENERGY TECHNOLOGIES,36,30,1
14MT1D2108,G2109,ADVANCED IC ENGINES ELECTIVE-II,33,24,1
14MT1D2108,G2113,THERMAL ENGINEERING LAB,37,49,1
14MT1D2109,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,40,31,1
14MT1D2109,G2102,ADVANCED THERMODYNAMICS,39,53,1
14MT1D2109,G2103,ADVANCED HEAT & MASS TRANSFER,39,30,1
14MT1D2109,G2104,ADVANCED FLUID MECHANICS,39,49,1
14MT1D2109,G2107,RENEWABLE ENERGY TECHNOLOGIES,39,35,1
14MT1D2109,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,24,1
14MT1D2109,G2113,THERMAL ENGINEERING LAB,38,52,1
14MT1D2110,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,33,32,1
14MT1D2110,G2102,ADVANCED THERMODYNAMICS,34,48,1
14MT1D2110,G2103,ADVANCED HEAT & MASS TRANSFER,32,31,1
14MT1D2110,G2104,ADVANCED FLUID MECHANICS,34,47,1
14MT1D2110,G2107,RENEWABLE ENERGY TECHNOLOGIES,33,32,1
14MT1D2110,G2109,ADVANCED IC ENGINES ELECTIVE-II,30,26,1
14MT1D2110,G2113,THERMAL ENGINEERING LAB,34,-1,0
14MT1D2111,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,40,32,1
14MT1D2111,G2102,ADVANCED THERMODYNAMICS,40,42,1
14MT1D2111,G2103,ADVANCED HEAT & MASS TRANSFER,40,32,1
14MT1D2111,G2104,ADVANCED FLUID MECHANICS,40,47,1
14MT1D2111,G2107,RENEWABLE ENERGY TECHNOLOGIES,39,34,1
14MT1D2111,G2109,ADVANCED IC ENGINES ELECTIVE-II,40,32,1
14MT1D2111,G2113,THERMAL ENGINEERING LAB,38,58,1
14MT1D2112,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,40,30,1
14MT1D2112,G2102,ADVANCED THERMODYNAMICS,40,46,1
14MT1D2112,G2103,ADVANCED HEAT & MASS TRANSFER,39,33,1
14MT1D2112,G2104,ADVANCED FLUID MECHANICS,39,48,1
14MT1D2112,G2107,RENEWABLE ENERGY TECHNOLOGIES,39,31,1
14MT1D2112,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,26,1
14MT1D2112,G2113,THERMAL ENGINEERING LAB,38,52,1
14MT1D2113,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,40,27,1
14MT1D2113,G2102,ADVANCED THERMODYNAMICS,38,39,1
14MT1D2113,G2103,ADVANCED HEAT & MASS TRANSFER,40,31,1
14MT1D2113,G2104,ADVANCED FLUID MECHANICS,38,47,1
14MT1D2113,G2107,RENEWABLE ENERGY TECHNOLOGIES,38,24,1
14MT1D2113,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,28,1
14MT1D2113,G2113,THERMAL ENGINEERING LAB,35,-1,0
14MT1D2114,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,20,-1,0
14MT1D2114,G2102,ADVANCED THERMODYNAMICS,20,-1,0
14MT1D2114,G2103,ADVANCED HEAT & MASS TRANSFER,20,-1,0
Htno,Subcode,Subname,Internal,External,credits
14MT1D2114,G2104,ADVANCED FLUID MECHANICS,19,-1,0
14MT1D2114,G2107,RENEWABLE ENERGY TECHNOLOGIES,19,-1,0
14MT1D2114,G2109,ADVANCED IC ENGINES ELECTIVE-II,20,-1,0
14MT1D2114,G2113,THERMAL ENGINEERING LAB,30,-1,0
14MT1D2115,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,40,25,1
14MT1D2115,G2102,ADVANCED THERMODYNAMICS,40,41,1
14MT1D2115,G2103,ADVANCED HEAT & MASS TRANSFER,39,29,1
14MT1D2115,G2104,ADVANCED FLUID MECHANICS,40,38,1
14MT1D2115,G2107,RENEWABLE ENERGY TECHNOLOGIES,40,24,1
14MT1D2115,G2109,ADVANCED IC ENGINES ELECTIVE-II,40,31,1
14MT1D2115,G2113,THERMAL ENGINEERING LAB,39,56,1
14MT1D2116,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,39,28,1
14MT1D2116,G2102,ADVANCED THERMODYNAMICS,39,42,1
14MT1D2116,G2103,ADVANCED HEAT & MASS TRANSFER,38,34,1
14MT1D2116,G2104,ADVANCED FLUID MECHANICS,39,38,1
14MT1D2116,G2107,RENEWABLE ENERGY TECHNOLOGIES,38,25,1
14MT1D2116,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,24,1
14MT1D2116,G2113,THERMAL ENGINEERING LAB,37,52,1
14MT1D2117,G2101,OPTIMIZATION TECHNIQUES & APPLICATIONS,39,26,1
14MT1D2117,G2102,ADVANCED THERMODYNAMICS,39,42,1
14MT1D2117,G2103,ADVANCED HEAT & MASS TRANSFER,40,35,1
14MT1D2117,G2104,ADVANCED FLUID MECHANICS,40,48,1
14MT1D2117,G2107,RENEWABLE ENERGY TECHNOLOGIES,39,26,1
14MT1D2117,G2109,ADVANCED IC ENGINES ELECTIVE-II,39,24,1
14MT1D2117,G2113,THERMAL ENGINEERING LAB,38,54,1
14MT1D4301,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,29,1
14MT1D4301,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,28,1
14MT1D4301,G4303,ELECTRIC DRIVES-I,35,39,1
14MT1D4301,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,32,1
14MT1D4301,G4306,OPTIMIZATION TECHNIQUES,36,27,1
14MT1D4301,G4309,SYSTEMS SIMULATION LAB,36,37,1
14MT1D4301,G5602,HVDC TRANSMISSION,35,26,1
14MT1D4303,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,36,1
14MT1D4303,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,27,1
14MT1D4303,G4303,ELECTRIC DRIVES-I,35,39,1
14MT1D4303,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,34,1
14MT1D4303,G4306,OPTIMIZATION TECHNIQUES,36,31,1
14MT1D4303,G4309,SYSTEMS SIMULATION LAB,36,42,1
14MT1D4303,G5602,HVDC TRANSMISSION,36,24,1
14MT1D4304,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,27,1
14MT1D4304,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,29,1
14MT1D4304,G4303,ELECTRIC DRIVES-I,34,37,1
14MT1D4304,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,35,38,1
14MT1D4304,G4306,OPTIMIZATION TECHNIQUES,35,28,1
14MT1D4304,G4309,SYSTEMS SIMULATION LAB,37,38,1
14MT1D4304,G5602,HVDC TRANSMISSION,34,24,1
14MT1D4305,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,36,27,1
14MT1D4305,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,31,1
14MT1D4305,G4303,ELECTRIC DRIVES-I,36,34,1
14MT1D4305,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,39,1
14MT1D4305,G4306,OPTIMIZATION TECHNIQUES,35,28,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D4305,G4309,SYSTEMS SIMULATION LAB,34,39,1
14MT1D4305,G5602,HVDC TRANSMISSION,36,24,1
14MT1D4306,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,32,1
14MT1D4306,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,30,1
14MT1D4306,G4303,ELECTRIC DRIVES-I,34,36,1
14MT1D4306,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,35,41,1
14MT1D4306,G4306,OPTIMIZATION TECHNIQUES,36,27,1
14MT1D4306,G4309,SYSTEMS SIMULATION LAB,34,52,1
14MT1D4306,G5602,HVDC TRANSMISSION,35,30,1
14MT1D4307,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,24,1
14MT1D4307,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,36,24,1
14MT1D4307,G4303,ELECTRIC DRIVES-I,36,36,1
14MT1D4307,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,35,36,1
14MT1D4307,G4306,OPTIMIZATION TECHNIQUES,36,28,1
14MT1D4307,G4309,SYSTEMS SIMULATION LAB,35,39,1
14MT1D4307,G5602,HVDC TRANSMISSION,35,24,1
14MT1D4308,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,28,1
14MT1D4308,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,34,26,1
14MT1D4308,G4303,ELECTRIC DRIVES-I,35,36,1
14MT1D4308,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,35,43,1
14MT1D4308,G4306,OPTIMIZATION TECHNIQUES,37,27,1
14MT1D4308,G4309,SYSTEMS SIMULATION LAB,35,39,1
14MT1D4308,G5602,HVDC TRANSMISSION,36,17,0
14MT1D4309,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,36,45,1
14MT1D4309,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,36,28,1
14MT1D4309,G4303,ELECTRIC DRIVES-I,35,39,1
14MT1D4309,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,27,1
14MT1D4309,G4306,OPTIMIZATION TECHNIQUES,36,25,1
14MT1D4309,G4309,SYSTEMS SIMULATION LAB,35,38,1
14MT1D4309,G5602,HVDC TRANSMISSION,34,17,0
14MT1D4310,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,34,-1,0
14MT1D4310,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,-1,0
14MT1D4310,G4303,ELECTRIC DRIVES-I,35,37,1
14MT1D4310,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,40,1
14MT1D4310,G4306,OPTIMIZATION TECHNIQUES,36,28,1
14MT1D4310,G4309,SYSTEMS SIMULATION LAB,37,38,1
14MT1D4310,G5602,HVDC TRANSMISSION,36,19,0
14MT1D4311,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,36,28,1
14MT1D4311,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,27,1
14MT1D4311,G4303,ELECTRIC DRIVES-I,34,36,1
14MT1D4311,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,37,37,1
14MT1D4311,G4306,OPTIMIZATION TECHNIQUES,36,32,1
14MT1D4311,G4309,SYSTEMS SIMULATION LAB,36,39,1
14MT1D4311,G5602,HVDC TRANSMISSION,35,15,0
14MT1D4312,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,28,1
14MT1D4312,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,-1,0
14MT1D4312,G4303,ELECTRIC DRIVES-I,35,38,1
14MT1D4312,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,37,34,1
14MT1D4312,G4306,OPTIMIZATION TECHNIQUES,34,28,1
14MT1D4312,G4309,SYSTEMS SIMULATION LAB,34,37,1
14MT1D4312,G5602,HVDC TRANSMISSION,35,17,0
Htno,Subcode,Subname,Internal,External,credits
14MT1D4313,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,36,1
14MT1D4313,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,36,28,1
14MT1D4313,G4303,ELECTRIC DRIVES-I,34,38,1
14MT1D4313,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,37,41,1
14MT1D4313,G4306,OPTIMIZATION TECHNIQUES,36,-1,0
14MT1D4313,G4309,SYSTEMS SIMULATION LAB,35,52,1
14MT1D4313,G5602,HVDC TRANSMISSION,35,17,0
14MT1D4314,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,35,45,1
14MT1D4314,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,34,36,1
14MT1D4314,G4303,ELECTRIC DRIVES-I,36,41,1
14MT1D4314,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,35,46,1
14MT1D4314,G4306,OPTIMIZATION TECHNIQUES,35,35,1
14MT1D4314,G4309,SYSTEMS SIMULATION LAB,35,30,1
14MT1D4314,G5602,HVDC TRANSMISSION,36,16,0
14MT1D4315,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,36,28,1
14MT1D4315,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,34,24,1
14MT1D4315,G4303,ELECTRIC DRIVES-I,36,30,1
14MT1D4315,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,34,32,1
14MT1D4315,G4306,OPTIMIZATION TECHNIQUES,36,25,1
14MT1D4315,G4309,SYSTEMS SIMULATION LAB,37,38,1
14MT1D4315,G5602,HVDC TRANSMISSION,35,24,1
14MT1D4316,G4301,ELECTRICAL MACHINE MODELING & ANALYSIS,36,28,1
14MT1D4316,G4302,ANALYSIS OF POWER ELECTRONIC CONVERTERS,35,24,1
14MT1D4316,G4303,ELECTRIC DRIVES-I,35,41,1
14MT1D4316,G4304,FLEXIBLE AC TRANSMISSION SYSTEMS,36,32,1
14MT1D4316,G4306,OPTIMIZATION TECHNIQUES,34,31,1
14MT1D4316,G4309,SYSTEMS SIMULATION LAB,35,42,1
14MT1D4316,G5602,HVDC TRANSMISSION,34,12,0
14MT1D5801,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,36,34,1
14MT1D5801,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,36,24,1
14MT1D5801,G0503,DATA BASE MANAGEMENT SYSTEMS,37,34,1
14MT1D5801,G0504,OPERATING SYSTEM,37,25,1
14MT1D5801,G0505,SOFTWARE ENGINEERING,37,24,1
14MT1D5801,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,34,26,1
14MT1D5801,G5801,CSE LAB,37,43,1
14MT1D5802,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,44,1
14MT1D5802,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,39,24,1
14MT1D5802,G0503,DATA BASE MANAGEMENT SYSTEMS,38,36,1
14MT1D5802,G0504,OPERATING SYSTEM,39,34,1
14MT1D5802,G0505,SOFTWARE ENGINEERING,38,24,1
14MT1D5802,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,36,36,1
14MT1D5802,G5801,CSE LAB,38,44,1
14MT1D5803,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,39,30,1
14MT1D5803,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,39,24,1
14MT1D5803,G0503,DATA BASE MANAGEMENT SYSTEMS,39,33,1
14MT1D5803,G0504,OPERATING SYSTEM,39,29,1
14MT1D5803,G0505,SOFTWARE ENGINEERING,39,31,1
14MT1D5803,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,38,29,1
14MT1D5803,G5801,CSE LAB,39,47,1
14MT1D5804,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,37,35,1
14MT1D5804,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,36,26,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D5804,G0503,DATA BASE MANAGEMENT SYSTEMS,36,33,1
14MT1D5804,G0504,OPERATING SYSTEM,38,30,1
14MT1D5804,G0505,SOFTWARE ENGINEERING,38,26,1
14MT1D5804,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,36,38,1
14MT1D5804,G5801,CSE LAB,37,45,1
14MT1D5805,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,37,1
14MT1D5805,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,37,25,1
14MT1D5805,G0503,DATA BASE MANAGEMENT SYSTEMS,37,32,1
14MT1D5805,G0504,OPERATING SYSTEM,38,31,1
14MT1D5805,G0505,SOFTWARE ENGINEERING,38,26,1
14MT1D5805,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,39,36,1
14MT1D5805,G5801,CSE LAB,38,56,1
14MT1D5806,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,39,26,1
14MT1D5806,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,39,24,1
14MT1D5806,G0503,DATA BASE MANAGEMENT SYSTEMS,39,38,1
14MT1D5806,G0504,OPERATING SYSTEM,39,24,1
14MT1D5806,G0505,SOFTWARE ENGINEERING,39,24,1
14MT1D5806,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,39,32,1
14MT1D5806,G5801,CSE LAB,39,57,1
14MT1D5807,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,37,-1,0
14MT1D5807,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,36,-1,0
14MT1D5807,G0503,DATA BASE MANAGEMENT SYSTEMS,35,30,1
14MT1D5807,G0504,OPERATING SYSTEM,35,27,1
14MT1D5807,G0505,SOFTWARE ENGINEERING,35,24,1
14MT1D5807,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,38,-1,0
14MT1D5807,G5801,CSE LAB,37,51,1
14MT1D5808,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,29,1
14MT1D5808,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,37,12,0
14MT1D5808,G0503,DATA BASE MANAGEMENT SYSTEMS,37,33,1
14MT1D5808,G0504,OPERATING SYSTEM,36,24,1
14MT1D5808,G0505,SOFTWARE ENGINEERING,37,24,1
14MT1D5808,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,35,27,1
14MT1D5808,G5801,CSE LAB,37,51,1
14MT1D5809,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,46,1
14MT1D5809,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,38,26,1
14MT1D5809,G0503,DATA BASE MANAGEMENT SYSTEMS,39,37,1
14MT1D5809,G0504,OPERATING SYSTEM,39,31,1
14MT1D5809,G0505,SOFTWARE ENGINEERING,38,30,1
14MT1D5809,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,38,39,1
14MT1D5809,G5801,CSE LAB,38,50,1
14MT1D5810,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,30,1
14MT1D5810,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,38,24,1
14MT1D5810,G0503,DATA BASE MANAGEMENT SYSTEMS,36,29,1
14MT1D5810,G0504,OPERATING SYSTEM,38,25,1
14MT1D5810,G0505,SOFTWARE ENGINEERING,38,24,1
14MT1D5810,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,38,24,1
14MT1D5810,G5801,CSE LAB,36,38,1
14MT1D5811,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,37,24,1
14MT1D5811,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,37,24,1
14MT1D5811,G0503,DATA BASE MANAGEMENT SYSTEMS,35,24,1
14MT1D5811,G0504,OPERATING SYSTEM,37,24,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D5811,G0505,SOFTWARE ENGINEERING,38,24,1
14MT1D5811,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,36,19,0
14MT1D5811,G5801,CSE LAB,37,44,1
14MT1D5813,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,32,1
14MT1D5813,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,38,24,1
14MT1D5813,G0503,DATA BASE MANAGEMENT SYSTEMS,37,36,1
14MT1D5813,G0504,OPERATING SYSTEM,38,29,1
14MT1D5813,G0505,SOFTWARE ENGINEERING,39,32,1
14MT1D5813,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,39,31,1
14MT1D5813,G5801,CSE LAB,37,43,1
14MT1D5814,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,38,1
14MT1D5814,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,38,24,1
14MT1D5814,G0503,DATA BASE MANAGEMENT SYSTEMS,36,36,1
14MT1D5814,G0504,OPERATING SYSTEM,37,25,1
14MT1D5814,G0505,SOFTWARE ENGINEERING,38,24,1
14MT1D5814,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,38,30,1
14MT1D5814,G5801,CSE LAB,37,54,1
14MT1D5815,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,30,1
14MT1D5815,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,37,14,0
